Source,Target,Count,Stage
D64,K72,59.0,d2-d3
I20,D64,14337.0,d1-d2
D64,J17,28.0,d2-d3
I20,I95,10304.0,d1-d2
I95,F03,553.0,d2-d3
F03,F01,53.0,d3-d4
I20,I95,10304.0,d1-d2
I95,F03,553.0,d2-d3
F03,J69,32.0,d3-d4
I20,I95,10304.0,d1-d2
I95,F03,553.0,d2-d3
F03,F00,31.0,d3-d4
I20,I95,10304.0,d1-d2
I95,F03,553.0,d2-d3
F03,G30,46.0,d3-d4
I20,I95,10304.0,d1-d2
I95,J18,1311.0,d2-d3
J18,J69,50.0,d3-d4
I20,I95,10304.0,d1-d2
I95,F02,37.0,d2-d3
I20,I95,10304.0,d1-d2
I95,F05,438.0,d2-d3
F05,J69,31.0,d3-d4
I20,I95,10304.0,d1-d2
